time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
359000,0.00100,0.00010,100,100,0,0.0100,0.77425549,1.39618981
360000,0.00100,0.00010,100,100,0,0.0100,0.77407536,1.40052412
361000,0.00100,0.00010,100,100,0,0.0100,0.77279851,1.40251373
362000,0.00100,0.00010,100,100,0,0.0100,0.77173235,1.40735983
363000,0.00100,0.00010,100,100,0,0.0100,0.76642157,1.40689970
364000,0.00100,0.00010,100,100,0,0.0100,0.76886312,1.40886084
365000,0.00100,0.00010,100,100,0,0.0100,0.76477500,1.40932816
366000,0.00100,0.00010,100,100,0,0.0100,0.76126284,1.41487249
367000,0.00100,0.00010,100,100,0,0.0100,0.76670749,1.40763903
368000,0.00100,0.00010,100,100,0,0.0100,0.76842105,1.40928213
369000,0.00100,0.00010,100,100,0,0.0100,0.77105209,1.41519519
370000,0.00100,0.00010,100,100,0,0.0100,0.77113420,1.41844212
371000,0.00100,0.00010,100,100,0,0.0100,0.77510371,1.40899728
372000,0.00100,0.00010,100,100,0,0.0100,0.76354069,1.40833907
373000,0.00100,0.00010,100,100,0,0.0100,0.76049857,1.41231037
374000,0.00100,0.00010,100,100,0,0.0100,0.75879757,1.41880375
375000,0.00100,0.00010,100,100,0,0.0100,0.75825836,1.42182917
376000,0.00100,0.00010,100,100,0,0.0100,0.74926357,1.42823596
377000,0.00100,0.00010,100,100,0,0.0100,0.75243074,1.42231127
378000,0.00100,0.00010,100,100,0,0.0100,0.75462941,1.41631831
379000,0.00100,0.00010,100,100,0,0.0100,0.75106205,1.42055489
380000,0.00100,0.00010,100,100,0,0.0100,0.74833978,1.42459075
